"ID","step","angle","x","y","doy","tod","timestamp"
"Animal1",0.554094560997084,-0.257303458629863,-4.90406,6.890182,258,1,"2018-09-15 00:00:36.000"
"Animal1",0.241157761622668,1.10265287775014,-4.905937,6.885536,258,2,"2018-09-15 02:01:02.000"
"Animal1",0.112495792996736,2.74455468610862,-4.9045,6.883895,258,3,"2018-09-15 04:02:06.000"
"Animal1",0.824596214748061,0.511953098856778,-4.904822,6.88486,258,4,"2018-09-15 06:00:54.000"
"Animal1",0.0354142113397702,1.42761624619277,-4.910347,6.889871,258,5,"2018-09-15 08:00:54.000"
"Animal1",0.325432643503057,-1.49702405892701,-4.910594,6.889667,258,6,"2018-09-15 10:00:54.000"
"Animal1",0.134370891557908,-2.41430928095649,-4.912632,6.891791,258,7,"2018-09-15 12:00:49.000"
"Animal1",0.263033947342251,0.966924258906624,-4.91142,6.891695,258,8,"2018-09-15 14:01:06.000"
"Animal1",0.122458468610802,2.92302802229558,-4.909918,6.89354,258,9,"2018-09-15 16:00:35.000"
"Animal1",0.610240826913086,2.986737849763,-4.910787,6.892853,258,10,"2018-09-15 18:01:00.000"
"Animal1",0.34921448004805,0.777775537496974,-4.90598,6.895568,258,11,"2018-09-15 20:01:07.000"
"Animal1",0.335328589311338,0.88011476820863,-4.905111,6.898604,258,12,"2018-09-15 22:02:55.000"
"Animal1",0.104306746935887,-1.46760849372742,-4.906828,6.901104,259,1,"2018-09-16 00:01:12.000"
"Animal1",0.280923016730993,2.95363652027626,-4.906109,6.901715,259,2,"2018-09-16 02:00:50.000"
"Animal1",0.101920365540653,0.62219875486551,-4.908319,6.90046,259,3,"2018-09-16 04:01:01.000"
"Animal1",1.18099546049511,0.153132527438263,-4.908705,6.899623,259,4,"2018-09-16 06:00:55.000"
"Animal1",0.112096891688363,2.36991793620653,-4.911645,6.889356,259,5,"2018-09-16 08:00:37.000"
"Animal1",0.159458646592815,1.30615809729545,-4.910765,6.88986,259,6,"2018-09-16 10:00:56.000"
"Animal1",0.487204733956209,-1.5856610790742,-4.91113,6.891255,259,7,"2018-09-16 12:01:02.000"
"Animal1",0.303032441626432,2.62724286547214,-4.906849,6.892306,259,8,"2018-09-16 14:00:56.000"
"Animal1",0.295228848624237,2.15468678040825,-4.909489,6.893046,259,9,"2018-09-16 16:00:35.000"
"Animal1",0.772827165177523,0.181692234947921,-4.908673,6.890504,259,10,"2018-09-16 18:00:49.000"
"Animal1",0.599172759940538,-0.493970253084512,-4.905369,6.884345,259,11,"2018-09-16 20:01:01.000"
"Animal1",0.890983339744401,0.321340006526389,-4.905379,6.878927,259,12,"2018-09-16 22:01:07.000"
"Animal1",0.714816677292529,0.020371965110429,-4.902847,6.871278,260,1,"2018-09-17 00:00:35.000"
"Animal1",0.15787468427079,0.703110211350984,-4.900691,6.865184,260,2,"2018-09-17 02:00:54.000"
"Animal1",0.775066167123775,-2.57081990276061,-4.899457,6.864465,260,3,"2018-09-17 04:01:00.000"
"Animal1",1.53739437583308,0.73340909200053,-4.906463,6.864164,260,4,"2018-09-17 06:00:39.000"
"Animal1",0.0992229894022097,-1.70592945867818,-4.916387,6.854423,260,5,"2018-09-17 08:01:01.000"
"Animal1",0.129431148896821,-1.73631170761766,-4.916924,6.855142,260,6,"2018-09-17 10:01:06.000"
"Animal1",0.0673944385232188,2.06806309792306,-4.915883,6.855678,260,7,"2018-09-17 12:00:54.000"
"Animal1",0.363546498523401,3.00213832046549,-4.916387,6.856021,260,8,"2018-09-17 14:02:24.000"
"Animal1",2.96359361782843,0.369560118303599,-4.913952,6.853811,260,9,"2018-09-17 16:00:35.000"
"Animal1",1.82549413289647,1.20900580698374,-4.888932,6.844177,260,10,"2018-09-17 18:01:30.000"
"Animal1",1.07362555111575,2.12813784077828,-4.877924,6.856483,260,11,"2018-09-17 20:01:31.000"
"Animal1",0.359082256847521,1.84532498163849,-4.887494,6.858146,260,12,"2018-09-17 22:01:32.000"
"Animal1",0.24040591267098,-2.52164566726476,-4.887162,6.854916,261,1,"2018-09-18 00:01:56.000"
"Animal1",0.117231233586411,1.09335846668416,-4.8886,6.856547,261,2,"2018-09-18 02:01:07.000"
"Animal1",0.479756196717104,2.33300729996947,-4.889629,6.85629,261,3,"2018-09-18 04:00:50.000"
"Animal1",1.20779133796757,1.48384424412188,-4.88596,6.853972,261,4,"2018-09-18 06:02:08.000"
"Animal1",0.316771085076083,2.25881536880831,-4.879341,6.862662,261,5,"2018-09-18 08:00:50.000"
"Animal1",0.5137583654782,-2.98376574203983,-4.882205,6.862555,261,6,"2018-09-18 10:00:36.000"
"Animal1",0.32266776996013,0.0651400818043153,-4.877645,6.863456,261,7,"2018-09-18 12:01:32.000"
"Animal1",0.321885375792961,0.738258891097292,-4.874824,6.864207,261,8,"2018-09-18 14:01:25.000"
"Animal1",0.725088168864857,0.0346913382057343,-4.873247,6.866654,261,9,"2018-09-18 16:01:00.000"
"Animal1",0.535363874386772,1.40741033528669,-4.869888,6.872286,261,10,"2018-09-18 18:00:50.000"
"Animal1",0.392885485082058,-1.61219568359538,-4.87359,6.875408,261,11,"2018-09-18 20:01:33.000"
"Animal1",1.0527447121124,0.719729966611707,-4.871187,6.878026,261,12,"2018-09-18 22:01:02.000"
"Animal1",0.229431904096865,2.11290093929058,-4.870972,6.887543,262,1,"2018-09-19 00:01:30.000"
"Animal1",0.209059959234989,-2.20955683441701,-4.872774,6.886513,262,2,"2018-09-19 02:00:55.000"
